city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Istanbul,41.0100,28.9603,Turkey,TR,İstanbul,admin,15154000,15029231
Ankara,39.9300,32.8500,Turkey,TR,Ankara,primary,5503985,5503985
İzmir,38.4127,27.1384,Turkey,TR,İzmir,admin,4320519,4320519
Bursa,40.1833,29.0667,Turkey,TR,Bursa,admin,2901396,2901396
Antalya,36.9081,30.6956,Turkey,TR,Antalya,admin,2426356,2426356
Konya,37.8714,32.4847,Turkey,TR,Konya,admin,2232374,2232374
Adana,37.0000,35.3250,Turkey,TR,Adana,admin,2220125,2220125
Gaziantep,37.0667,37.3833,Turkey,TR,Gaziantep,admin,2028563,2028563
Şanlıurfa,37.1583,38.7917,Turkey,TR,Şanlıurfa,admin,1985753,1985753
Mersin,36.8000,34.6167,Turkey,TR,Mersin,admin,1814468,1814468
Diyarbakır,37.9108,40.2367,Turkey,TR,Diyarbakır,admin,1732396,1732396
Kayseri,38.7333,35.4833,Turkey,TR,Kayseri,admin,1389680,1389680
Samsun,41.2867,36.3300,Turkey,TR,Samsun,admin,1335716,1335716
Tekirdağ,40.9833,27.5167,Turkey,TR,Tekirdağ,admin,1029927,1029927
Denizli,37.7731,29.0878,Turkey,TR,Denizli,admin,963464,963464
Eskişehir,39.7767,30.5206,Turkey,TR,Eskişehir,admin,871187,871187
Trabzon,41.0050,39.7225,Turkey,TR,Trabzon,admin,807903,807903
Erzurum,39.9097,41.2756,Turkey,TR,Erzurum,admin,767848,767848
Malatya,38.3554,38.3337,Turkey,TR,Malatya,admin,461574,441805
Batman,37.8833,41.1333,Turkey,TR,Batman,admin,447106,447106
Kahramanmaraş,37.5875,36.9453,Turkey,TR,Kahramanmaraş,admin,443575,443575
Elazığ,38.6667,39.2167,Turkey,TR,Elazığ,admin,421726,421726
Hatay,36.2000,36.1500,Turkey,TR,Hatay,admin,377793,377793
Sivas,39.7500,37.0167,Turkey,TR,Sivas,admin,377561,377561
Kocaeli,40.7656,29.9406,Turkey,TR,Kocaeli,admin,363416,363416
Van,38.5019,43.4167,Turkey,TR,Van,admin,353419,353419
Tarsus,36.9167,34.9000,Turkey,TR,Mersin,minor,339676,339676
Balıkesir,39.6511,27.8842,Turkey,TR,Balıkesir,admin,331788,331788
Alanya,36.5436,31.9997,Turkey,TR,Antalya,minor,312319,312319
Adıyaman,37.7644,38.2763,Turkey,TR,Adıyaman,admin,304615,304615
Afyonkarahisar,38.7581,30.5386,Turkey,TR,Afyonkarahisar,admin,299673,299673
İskenderun,36.5804,36.1700,Turkey,TR,Hatay,minor,297943,159965
Aksaray,38.3686,34.0297,Turkey,TR,Aksaray,admin,295351,295351
Çorum,40.5489,34.9533,Turkey,TR,Çorum,admin,294807,294807
İnegöl,40.0806,29.5097,Turkey,TR,Bursa,minor,268155,268155
Kütahya,39.4242,29.9833,Turkey,TR,Kütahya,admin,266784,266784
Osmaniye,37.0750,36.2500,Turkey,TR,Osmaniye,admin,264373,264373
Çorlu,41.1597,27.8028,Turkey,TR,Tekirdağ,minor,262862,262862
Sakarya,40.7778,30.4028,Turkey,TR,Sakarya,admin,260109,260109
Isparta,37.7667,30.5500,Turkey,TR,Isparta,admin,258375,258375
Kızıltepe,37.1939,40.5861,Turkey,TR,Mardin,minor,252656,252656
Uşak,38.6833,29.4000,Turkey,TR,Uşak,admin,252044,252044
Manisa,38.6131,27.4258,Turkey,TR,Manisa,admin,243971,231429
